time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="elasticbeanstalk:DescribeApplications" cache=miss region=us-east-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="emr:ListClusters" cache=miss region=us-east-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="ec2:DescribeInstances" cache=miss region=us-east-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="athena:ListDatabases" cache=miss catalogName=AwsDataCatalog region=eu-north-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="codedeploy:ListApplications" cache=miss region=us-east-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="codedeploy:ListDeployments" cache=miss region=us-east-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="iam:ListAccessKeys" cache=miss userName=privesc-sageMakerCreateNotebookPassRole-user
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="dynamodb:ListTables" cache=miss region=us-east-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="ec2:DescribeSnapshots" cache=miss region=us-east-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="ec2:DescribeImages" cache=miss region=us-east-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="ec2:DescribeVolumes" cache=miss region=us-east-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="iam:ListAccessKeys" cache=miss userName=privesc-sageMakerCreatePresignedNotebookURL-user
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="eks:ListClusters" cache=hit region=us-east-2
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="elbv2:DescribeLoadBalancers" cache=miss region=us-east-1
